Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
6.899999999999403277e-01,0.000000000000000000e+00,1.795957983539894776e-01,3.750000000000044530e-03,1.000000000000000000e+03
6.999999999999392264e-01,0.000000000000000000e+00,2.104698382599771156e-01,3.750000000000039760e-03,1.000000000000000000e+03
7.099999999999381251e-01,0.000000000000000000e+00,2.278605304011610266e-01,3.750000000000037591e-03,1.000000000000000000e+03
7.199999999999370237e-01,0.000000000000000000e+00,1.584470263818979485e-01,3.750000000000042362e-03,1.000000000000000000e+03
7.299999999999359224e-01,0.000000000000000000e+00,1.794928088291992962e-01,3.750000000000044097e-03,1.000000000000000000e+03
7.399999999999348210e-01,0.000000000000000000e+00,2.182747973421902687e-01,3.750000000000043229e-03,1.000000000000000000e+03
7.499999999999337197e-01,0.000000000000000000e+00,2.573460991563102929e-01,3.750000000000048000e-03,1.000000000000000000e+03
7.599999999999326183e-01,0.000000000000000000e+00,2.965779969748618128e-01,3.750000000000046265e-03,1.000000000000000000e+03
7.699999999999315170e-01,0.000000000000000000e+00,1.477698887571855524e-01,3.750000000000044530e-03,1.000000000000000000e+03
7.799999999999304157e-01,0.000000000000000000e+00,1.910085582862134090e-01,3.750000000000044530e-03,1.000000000000000000e+03
7.899999999999293143e-01,0.000000000000000000e+00,2.154445645595009506e-01,3.750000000000044964e-03,1.000000000000000000e+03
7.999999999999282130e-01,0.000000000000000000e+00,1.996956844983982238e-01,3.750000000000042796e-03,1.000000000000000000e+03
8.099999999999271116e-01,0.000000000000000000e+00,2.083563283990073067e-01,3.750000000000040627e-03,1.000000000000000000e+03
8.199999999999260103e-01,0.000000000000000000e+00,2.050739076260126581e-01,3.750000000000042362e-03,1.000000000000000000e+03
8.299999999999249090e-01,0.000000000000000000e+00,1.998389706119924336e-01,3.750000000000038893e-03,1.000000000000000000e+03
8.399999999999238076e-01,0.000000000000000000e+00,1.885821374172227671e-01,3.750000000000038893e-03,1.000000000000000000e+03
8.499999999999227063e-01,0.000000000000000000e+00,1.512841493761735989e-01,3.750000000000040627e-03,1.000000000000000000e+03
8.599999999999216049e-01,0.000000000000000000e+00,1.008975207370023663e-01,3.750000000000037591e-03,1.000000000000000000e+03
8.699999999999205036e-01,0.000000000000000000e+00,6.998666596288978525e-02,3.750000000000038459e-03,1.000000000000000000e+03
8.799999999999194022e-01,0.000000000000000000e+00,8.682343228466790630e-02,3.750000000000039760e-03,1.000000000000000000e+03
8.899999999999183009e-01,0.000000000000000000e+00,5.540275869491339406e-02,3.750000000000041061e-03,1.000000000000000000e+03
8.999999999999171996e-01,0.000000000000000000e+00,1.475986480663828426e-01,3.750000000000040194e-03,1.000000000000000000e+03
9.099999999999160982e-01,0.000000000000000000e+00,1.354956957141031926e-01,3.750000000000042362e-03,1.000000000000000000e+03
9.199999999999149969e-01,0.000000000000000000e+00,1.081754475939375737e-01,3.750000000000042362e-03,1.000000000000000000e+03
9.299999999999138955e-01,0.000000000000000000e+00,4.623198795572251996e-01,3.750000000000041061e-03,1.000000000000000000e+03
9.399999999999127942e-01,0.000000000000000000e+00,7.244684618203982296e-02,3.750000000000044097e-03,1.000000000000000000e+03
9.499999999999116929e-01,0.000000000000000000e+00,1.149550286132350607e-01,3.750000000000043663e-03,1.000000000000000000e+03
9.599999999999105915e-01,0.000000000000000000e+00,6.785108480927484753e-02,3.750000000000044964e-03,1.000000000000000000e+03
9.699999999999094902e-01,0.000000000000000000e+00,4.770452627713328564e-02,3.750000000000047566e-03,1.000000000000000000e+03
9.799999999999083888e-01,0.000000000000000000e+00,7.771150325038383988e-02,3.750000000000052337e-03,1.000000000000000000e+03
9.899999999999072875e-01,0.000000000000000000e+00,8.494689149283482510e-02,3.750000000000052337e-03,1.000000000000000000e+03
9.999999999999061862e-01,0.000000000000000000e+00,7.458576510165623730e-02,3.750000000000055806e-03,1.000000000000000000e+03
1.009999999999905196e+00,0.000000000000000000e+00,8.645737914383089251e-02,3.750000000000055372e-03,1.000000000000000000e+03
1.019999999999904094e+00,0.000000000000000000e+00,8.892387154155502460e-02,3.750000000000054505e-03,1.000000000000000000e+03
