time,y,vy,ay
1.609999999999995809e-02,1.015605250839148876e-01,-9.438087789790022830e-02,-4.391488717591712998e+00
1.619999999999995749e-02,1.015510651151648458e-01,-9.481849710301332168e-02,-4.376192051130904481e+00
1.629999999999995688e-02,1.015415614607373118e-01,-9.525459144758841035e-02,-4.360943445750863567e+00
1.639999999999995628e-02,1.015320142728771691e-01,-9.568916575537377012e-02,-4.345743077853602365e+00
1.649999999999995567e-02,1.015224237033463678e-01,-9.612222486058404070e-02,-4.330591052102761296e+00
1.659999999999995507e-02,1.015127899034232173e-01,-9.655377360251539420e-02,-4.315487419313528861e+00
1.669999999999995446e-02,1.015031130239020529e-01,-9.698381682084943056e-02,-4.300432183340357817e+00
1.679999999999995386e-02,1.014933932150934026e-01,-9.741235935215783459e-02,-4.285425313084071597e+00
1.689999999999995325e-02,1.014836306268244309e-01,-9.783940602735990977e-02,-4.270466752020734447e+00
1.699999999999995265e-02,1.014738254084395636e-01,-9.826496166985454472e-02,-4.255556424946339789e+00
1.709999999999995204e-02,1.014639777088013617e-01,-9.868903109408869168e-02,-4.240694242341476183e+00
1.719999999999995144e-02,1.014540876762914379e-01,-9.911161910440317857e-02,-4.225880103144845634e+00
1.729999999999995083e-02,1.014441554588115108e-01,-9.953273049407464212e-02,-4.211113896714693716e+00
1.739999999999995023e-02,1.014341812037845847e-01,-9.995237004452386942e-02,-4.196395504492288708e+00
1.749999999999994962e-02,1.014241650581561294e-01,-1.003705425246807920e-01,-4.181724801569195904e+00
1.759999999999994902e-02,1.014141071683953704e-01,-1.007872526904953214e-01,-4.167101658145328180e+00
1.769999999999994841e-02,1.014040076804966217e-01,-1.012025052845738626e-01,-4.152525940785343650e+00
1.779999999999994781e-02,1.013938667399806037e-01,-1.016163050359145115e-01,-4.137997513406537209e+00
1.789999999999994720e-02,1.013836844918958174e-01,-1.020286566597128353e-01,-4.123516237983293031e+00
1.799999999999994660e-02,1.013734610808199738e-01,-1.024395648572208328e-01,-4.109081975079967641e+00
1.809999999999994599e-02,1.013631966508613258e-01,-1.028490343156384240e-01,-4.094694584175885055e+00
1.819999999999994539e-02,1.013528913456601399e-01,-1.032570697080325006e-01,-4.080353923940712946e+00
1.829999999999994478e-02,1.013425453083900696e-01,-1.036636756932789449e-01,-4.066059852464385393e+00
1.839999999999994418e-02,1.013321586817595987e-01,-1.040688569160247573e-01,-4.051812227458095883e+00
1.849999999999994357e-02,1.013217316080134572e-01,-1.044726180066675586e-01,-4.037610906427960167e+00
1.859999999999994297e-02,1.013112642289340504e-01,-1.048749635813493175e-01,-4.023455746817558243e+00
1.869999999999994236e-02,1.013007566858428882e-01,-1.052758982419612077e-01,-4.009346606118842082e+00
1.879999999999994176e-02,1.012902091196019871e-01,-1.056754265761566530e-01,-3.995283341954476874e+00
1.889999999999994115e-02,1.012796216706121771e-01,-1.060735532201022985e-01,-3.981266439456511375e+00
1.899999999999994055e-02,1.012689944788124491e-01,-1.064702827745675068e-01,-3.967295544652124750e+00
1.909999999999993994e-02,1.012583276836862833e-01,-1.068656197486843595e-01,-3.953369741168543783e+00
1.919999999999993934e-02,1.012476214242662431e-01,-1.072595686521798097e-01,-3.939489034954536173e+00
1.929999999999993873e-02,1.012368758391340162e-01,-1.076521339922415915e-01,-3.925653400617784783e+00
1.939999999999993813e-02,1.012260910664210395e-01,-1.080433202673442838e-01,-3.911862751026863538e+00
1.949999999999993752e-02,1.012152672438094564e-01,-1.084331319643680042e-01,-3.898116970237158085e+00
