time,y,vy,ay
9.299999999999999239e-03,1.020941050746037443e-01,-6.147901909811100823e-02,-5.515692107163141067e+00
9.399999999999998634e-03,1.020879296900805699e-01,-6.202867136549394811e-02,-5.496522673829393746e+00
9.499999999999998029e-03,1.020816994358647312e-01,-6.257641295115863589e-02,-5.477415856646936199e+00
9.599999999999997424e-03,1.020754145027121945e-01,-6.312225009955854671e-02,-5.458371483999092888e+00
9.699999999999996819e-03,1.020690750807553143e-01,-6.366618903799906026e-02,-5.439389384405163064e+00
9.799999999999996214e-03,1.020626813595045812e-01,-6.420823597665145654e-02,-5.420469386523954824e+00
9.899999999999995609e-03,1.020562335278503152e-01,-6.474839710856718222e-02,-5.401611319157277435e+00
9.999999999999995004e-03,1.020497317740644005e-01,-6.528667860969256109e-02,-5.382815011253773818e+00
1.009999999999999440e-02,1.020431762858019786e-01,-6.582308663888379596e-02,-5.364080291912346254e+00
1.019999999999999379e-02,1.020365672501031412e-01,-6.635762733792238688e-02,-5.345406990385844992e+00
1.029999999999999319e-02,1.020299048533946651e-01,-6.689030683153084078e-02,-5.326794936084525034e+00
1.039999999999999258e-02,1.020231892814917191e-01,-6.742113122738881137e-02,-5.308243958579749844e+00
1.049999999999999198e-02,1.020164207195995432e-01,-6.795010661614010739e-02,-5.289753887512937958e+00
1.059999999999999137e-02,1.020095989084437993e-01,-6.848611649861031936e-02,-5.360098824702063780e+00
1.069999999999999077e-02,1.020027222492451979e-01,-6.904706747337086004e-02,-5.609509747605360808e+00
1.079999999999999016e-02,1.019957923174752007e-01,-6.955156792663304277e-02,-5.045004532621879534e+00
1.089999999999998956e-02,1.019888125756957392e-01,-7.004326766270188576e-02,-4.916997360688437624e+00
1.099999999999998895e-02,1.019817836040482345e-01,-7.053616528737079172e-02,-4.928976246689114937e+00
1.109999999999998835e-02,1.019747036213445313e-01,-7.106348878677420933e-02,-5.273234994034152301e+00
1.119999999999998774e-02,1.019675723145275215e-01,-7.156264755351920970e-02,-4.991587667450002819e+00
1.129999999999998714e-02,1.019603961766685912e-01,-7.196010962517297715e-02,-3.974620716537618836e+00
1.139999999999998653e-02,1.019531789901610142e-01,-7.238362052644090050e-02,-4.235109012679175500e+00
1.149999999999998593e-02,1.019459180433107542e-01,-7.283531647888931426e-02,-4.516959524484146726e+00
1.159999999999998532e-02,1.019386109880178332e-01,-7.330578937959711383e-02,-4.704729007077983916e+00
1.169999999999998472e-02,1.019312562884144291e-01,-7.378820268842388452e-02,-4.824133088267742231e+00
1.179999999999998411e-02,1.019238529721340630e-01,-7.427812291877410045e-02,-4.899202303502139699e+00
1.189999999999998351e-02,1.019164007676644085e-01,-7.476596647430730491e-02,-4.878435555332012896e+00
1.199999999999998290e-02,1.019089002842052116e-01,-7.524370270975404285e-02,-4.777362354467379113e+00
1.209999999999998230e-02,1.019013520033343057e-01,-7.572191470823183557e-02,-4.782119984777958521e+00
1.219999999999998169e-02,1.018937558289361028e-01,-7.620157325578869045e-02,-4.796585475568524437e+00
1.229999999999998109e-02,1.018861116351393453e-01,-7.668230267937739542e-02,-4.807294235887041189e+00
1.239999999999998048e-02,1.018784193192502630e-01,-7.716401510238539430e-02,-4.817124230079970815e+00
1.249999999999997988e-02,1.018706787831176463e-01,-7.764670754996912116e-02,-4.826924475837228279e+00
1.259999999999997927e-02,1.018628899356170125e-01,-7.813024246260050210e-02,-4.835349126313788659e+00
